hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
T[Del(C):R8]G	0.000265931669217514	9.06523066951897e-06	4.79495040084863e-06	0.000112022932971863	1.12427597547998e-05	1.87437768908967e-05	1.91251725329627e-07	1.14726093083238e-05	5.96572123446356e-06	2.20498360594689e-06	0.000827877752447613	9.62860494335618e-06	0.000145614568057175	0.000101698047962799
T[Del(C):R8]T	0.000847251208319078	0.000156084485631348	6.52850939192468e-06	0.000226248759471428	0.000117101849458535	0.000219144531687026	1.36818541966579e-05	2.33750709033936e-05	2.32926321727952e-05	0.000130385219110486	0.000542244003333044	9.17251313024984e-06	0.000344898552818827	0.000171857204515251
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	0.00111046447911173	0.001213330058643	0.00809074111675501	0.00214060961175006	0.00439562089421123	0.0035062541151641	0.00329989037009754	0.0066869748650249	0.0108814426324635	0.00660591199160172	0.00435268573091969	0.00364361614117035	0.00305667719583475	0.00359418396659163
A[Del(T):R1]C	8.44520674186966e-05	0.000631369833009785	0.000371719308767327	0.000680485404883521	0.000390278110271338	0.00209165368227044	0.00146121099444968	0.00643239855382275	0.00509143327283363	0.00228080250944646	0.000461317846770378	0.0017335543047491	0.000416156804446776	0.00126185319312531
A[Del(T):R1]G	0.000165307813800935	0.000224431553705484	0.0028216070054963	0.000364242647717248	0.00181108406671001	0.00148513776150488	0.00098789607551901	0.00798264600347949	0.00804937823079206	0.00298186078068477	0.000506667497936013	0.000113820245804095	0.00024663577912627	0.00390002195225857
A[Del(T):R2]A	0.00122767369465498	0.000952587261283276	0.00244804348503634	0.000283840898681622	0.00258608029529907	0.00443859643795833	0.000539554218415031	0.00437566653043808	0.00888381703886366	0.00419412582487121	0.000998234886728465	0.00282356306120514	0.00215157839250121	0.0030090780235874
A[Del(T):R2]C	0.000172206324653304	0.000384422438079289	0.000583102852977046	0.000191303911616202	0.00125556720503467	0.00159841790844675	0.000637202935866985	0.00557977913181578	0.00643098991715524	0.00230040838826691	0.000791519113539179	1.96626248316958e-05	0.00102642310752544	0.000662257212275008
A[Del(T):R2]G	0.000239959339530011	0.000255425547544732	0.0022734704062116	0.000120363010573232	0.000889554864062494	0.00210409114170272	0.000421743155611981	0.00494762205418522	0.00479260711594354	0.00160841304144904	0.00047897574388366	0.00529547933450529	0.000310910959557757	0.00208156683308292
A[Del(T):R3]A	0.00130409511747881	0.00128446341780491	0.00423113800217654	0.000344594383340343	0.000566759621430145	0.00228411314841498	0.0029128520467973	0.00532532881180112	0.0090396440901157	0.00472241419212917	0.00154505895116432	0.00678730497830802	0.00181244246110864	0.00191902252763506
A[Del(T):R3]C	0.000285122693435863	0.000684188220586711	0.000194564333572896	0.000213201446226654	0.00110950779495963	0.00321201769225685	0.000206945400560041	0.00696935076118539	0.00691223938526774	0.00229095587657912	0.00130433798584865	0.0034423782978542	0.00140969127574404	0.000985828385942485
A[Del(T):R3]G	0.000439656554081133	0.000318906390849519	0.00163957796321941	0.000149224780511612	0.000635093150298632	0.00289524202361786	0.00102029117545561	0.00361752567655934	0.00687149372856434	0.00203671002099542	0.00105733176745037	0.00240730326644341	0.000367648067879185	0.00135191755567165
A[Del(T):R4]A	0.00284221681044409	0.00225298192739474	0.00127427651114245	0.000722440864772521	0.00131776194152534	0.00235681097467406	0.00253654956554008	0.00466632078874159	0.00953556111732947	0.00381561568827441	0.00300552769688372	0.00274891603446007	0.00207117505119248	0.00375030147907284
A[Del(T):R4]C	0.00153643578773915	0.000497691227951825	0.000496203598020128	0.00106480916623224	0.00184176925889569	0.000705081326970648	0.000933370944211092	0.00338608727637824	0.00522645980616017	0.00250891388720886	0.00103699629615391	0.00896144397451785	0.00387548578249742	0.00257678693556765
A[Del(T):R4]G	0.00143188698910811	0.000390377086925735	0.00126642016933183	0.000452172882001931	0.000602005059382205	0.00228358762196009	0.00200008847599047	0.00299240187168951	0.00567248519963095	0.00207754840588662	0.0019474208421698	0.000647092929061658	0.000438268482636283	0.000634199500388256
A[Del(T):R5]A	0.0132289601064502	0.003483717452572	0.00173341145414063	0.00107249224050078	0.00100946301860803	0.00237473726596847	0.00253430235776745	0.00411907436023602	0.00774026833293209	0.00416831265613639	0.00866667346864459	0.000389147670315959	0.00405816668022691	0.000865593800858322
A[Del(T):R5]C	0.00520480396327723	0.00133985003890622	0.0007963306088794	0.00165873244965354	0.000960598231280616	0.000780290001847517	0.0012413487465943	0.00148482096711547	0.00486356794439557	0.00245158832981782	0.00341490765074827	0.00380005563306583	0.00624250669382184	0.00313710807051073
